"ProductName","Provenance","StorageType","Entity","Attribute","DataType","LinkedTo","Property"
"LITE","lite-api","RDBMS-Postgres-Django","letter_templates_lettertemplate","id","text--text","generated_documents_generatedcasedocument","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","advice_denial_reasons","denialreason_id","text--text","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","id","int4--integer","cases_ecjuquery","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","compliance_openlicencereturns","returns_data","text--text","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","django_content_type","id","int4--integer","background_task_completedtask","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","id","uuid--uuid","compliance_compliancevisitcase","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","statuses_casestatus","id","uuid--uuid","statuses_casestatuscasetype","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","advice","third_party_id","uuid--uuid","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","applications_standardapplication","baseapplication_ptr_id","uuid--uuid","NONE","PRIMARY KEY"
"LITE","lite-api","RDBMS-Postgres-Django","applications_goodonapplicationdocument","document_type","text--text","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","documents_document","virus_scanned_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","routing_rules_routingrule","queue_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","teams_team","part_of_ecju","bool--boolean","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","organisation_flags","organisation_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","good_control_list_entries","good_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","countries_country","id","int4--integer","parties_party","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","cases_ecjuquery","updated_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","users_exporteruser","baseuser_ptr_id","uuid--uuid","goods_gooddocument","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","applications_openapplication","is_temp_direct_control","bool--boolean","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","report_summaries_reportsummarysubject","id","int4--integer","applications_goodonapplication","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","applications_baseapplication","case_ptr_id","uuid--uuid","applications_partyonapplication","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","applications_goodonapplicationdocument","user_id","uuid--uuid","NONE","UNIQUE"
"LITE","lite-api","RDBMS-Postgres-Django","routing_rules_routingrule","description","text--text","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","applications_goodonapplication","report_summary_subject_id","uuid--uuid","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","users_baseuser","id","text--text","users_baseuser_user_permissions","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","regimes_regimesubsection","id","int4--integer","regimes_regimeentry","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","goods_firearmgooddetails","is_made_before_1938","bool--boolean","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","routing_rules_routinghistory","case_flags","jsonb--jsonb","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","advice","end_user_id","uuid--uuid","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","good","id","varchar--character varying","goods_gooddocument","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","good","id","varchar--character varying","advice","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","organisations_externallocation","address","text--text","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","letter_templates_lettertemplate","id","varchar--character varying","letter_templates_lettertemplate_letter_paragraphs","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","cases_casetype","id","varchar--character varying","statuses_casestatuscasetype","FOREIGN KEY"
"LITE","lite-api","RDBMS-Postgres-Django","cases_case","sla_remaining_days","int2--smallint","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","background_task_completedtask","run_at","timestamptz--timestamp with time zone","NONE","OPTIONAL"
"LITE","lite-api","RDBMS-Postgres-Django","users_basenotification","case_id","uuid--uuid","NONE","UNIQUE"
