,subject,predicate,object
0,data:titanic:passenger:0,is_a,https://en.wikipedia.org/wiki/Woman
1,data:titanic:passenger:0,has_a_name,Elisabeth Walton Allen
2,data:titanic:passenger:0,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
3,data:titanic:passenger:0,has_an_age_of,29.0
4,data:titanic:passenger:0,stayed_in,data:titanic:cabin:B5
5,data:titanic:ticket24160,cost,211.3375
6,data:titanic:passenger:0,purchased,data:titanic:ticket24160
7,data:titanic:ticket24160,has_a_cabin,data:titanic:cabin:B5
8,data:titanic:passenger:1,is_a,https://en.wikipedia.org/wiki/Man
9,data:titanic:passenger:1,has_a_name,Hudson Trevor Allison
10,data:titanic:passenger:1,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
11,data:titanic:passenger:1,has_an_age_of,0.9167
12,data:titanic:passenger:1,stayed_in,data:titanic:cabin:C22 C26
13,data:titanic:ticket113781,cost,151.55
14,data:titanic:passenger:1,purchased,data:titanic:ticket113781
15,data:titanic:ticket113781,has_a_cabin,data:titanic:cabin:C22 C26
16,data:titanic:passenger:2,is_a,https://en.wikipedia.org/wiki/Woman
17,data:titanic:passenger:2,has_a_name,Helen Loraine Allison
18,data:titanic:passenger:2,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
19,data:titanic:passenger:2,has_an_age_of,2.0
20,data:titanic:passenger:2,stayed_in,data:titanic:cabin:C22 C26
21,data:titanic:ticket113781,cost,151.55
22,data:titanic:passenger:2,purchased,data:titanic:ticket113781
23,data:titanic:ticket113781,has_a_cabin,data:titanic:cabin:C22 C26
24,data:titanic:passenger:3,is_a,https://en.wikipedia.org/wiki/Man
25,data:titanic:passenger:3,has_a_name,Hudson Joshua Creighton Allison
26,data:titanic:passenger:3,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
27,data:titanic:passenger:3,has_an_age_of,30.0
28,data:titanic:passenger:3,stayed_in,data:titanic:cabin:C22 C26
29,data:titanic:ticket113781,cost,151.55
30,data:titanic:passenger:3,purchased,data:titanic:ticket113781
31,data:titanic:ticket113781,has_a_cabin,data:titanic:cabin:C22 C26
32,data:titanic:passenger:4,is_a,https://en.wikipedia.org/wiki/Woman
33,data:titanic:passenger:4,has_a_name,Hudson J C \(Bessie Waldo Daniels\) Allison
34,data:titanic:passenger:4,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
35,data:titanic:passenger:4,is_married_to,Hudson Allison
36,data:titanic:passenger:4,has_an_age_of,25.0
37,data:titanic:passenger:4,stayed_in,data:titanic:cabin:C22 C26
38,data:titanic:ticket113781,cost,151.55
39,data:titanic:passenger:4,purchased,data:titanic:ticket113781
40,data:titanic:ticket113781,has_a_cabin,data:titanic:cabin:C22 C26
41,data:titanic:passenger:4,travel_with,data:titanic:passenger:-1
42,data:titanic:passenger:-1,travel_with,data:titanic:passenger:4
43,data:titanic:passenger:-1,is_married_to,data:titanic:passenger:4
44,data:titanic:passenger:5,is_a,https://en.wikipedia.org/wiki/Man
45,data:titanic:passenger:5,has_a_name,Harry Anderson
