,subject,predicate,object
0,data:titanic:passenger:0,is_a,https://en.wikipedia.org/wiki/Woman
1,data:titanic:passenger:0,has_a_name,Elisabeth Walton Allen
2,data:titanic:passenger:0,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
3,data:titanic:passenger:0,has_an_age_of,29.0
4,data:titanic:passenger:1,is_a,https://en.wikipedia.org/wiki/Man
5,data:titanic:passenger:1,has_a_name,Hudson Trevor Allison
6,data:titanic:passenger:1,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
7,data:titanic:passenger:1,has_an_age_of,0.9167
8,data:titanic:passenger:2,is_a,https://en.wikipedia.org/wiki/Woman
9,data:titanic:passenger:2,has_a_name,Helen Loraine Allison
10,data:titanic:passenger:2,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
11,data:titanic:passenger:2,has_an_age_of,2.0
12,data:titanic:passenger:3,is_a,https://en.wikipedia.org/wiki/Man
13,data:titanic:passenger:3,has_a_name,Hudson Joshua Creighton Allison
14,data:titanic:passenger:3,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
15,data:titanic:passenger:3,has_an_age_of,30.0
16,data:titanic:passenger:4,is_a,https://en.wikipedia.org/wiki/Woman
17,data:titanic:passenger:4,has_a_name,Hudson J C \(Bessie Waldo Daniels\) Allison
18,data:titanic:passenger:4,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
19,data:titanic:passenger:4,has_an_age_of,25.0
20,data:titanic:passenger:5,is_a,https://en.wikipedia.org/wiki/Man
21,data:titanic:passenger:5,has_a_name,Harry Anderson
22,data:titanic:passenger:5,has_a_marital_status,Unknown
23,data:titanic:passenger:5,has_an_age_of,48.0
24,data:titanic:passenger:6,is_a,https://en.wikipedia.org/wiki/Woman
25,data:titanic:passenger:6,has_a_name,Kornelia Theodosia Andrews
26,data:titanic:passenger:6,has_a_marital_status,https://en.wikipedia.org/wiki/Single_person
27,data:titanic:passenger:6,has_an_age_of,63.0
28,data:titanic:passenger:7,is_a,https://en.wikipedia.org/wiki/Man
29,data:titanic:passenger:7,has_a_name,Thomas Jr Andrews
30,data:titanic:passenger:7,has_a_marital_status,Unknown
31,data:titanic:passenger:7,has_an_age_of,39.0
32,data:titanic:passenger:8,is_a,https://en.wikipedia.org/wiki/Woman
33,data:titanic:passenger:8,has_a_name,Edward Dale \(Charlotte Lamson\) Appleton
34,data:titanic:passenger:8,has_a_marital_status,https://en.wikipedia.org/wiki/Marriage
35,data:titanic:passenger:8,has_an_age_of,53.0
36,data:titanic:passenger:9,is_a,https://en.wikipedia.org/wiki/Man
37,data:titanic:passenger:9,has_a_name,Ramon Artagaveytia
38,data:titanic:passenger:9,has_a_marital_status,Unknown
39,data:titanic:passenger:9,has_an_age_of,71.0
40,data:titanic:passenger:10,is_a,https://en.wikipedia.org/wiki/Man
41,data:titanic:passenger:10,has_a_name,John Jacob Astor
42,data:titanic:passenger:10,has_a_marital_status,Unknown
43,data:titanic:passenger:10,has_an_age_of,47.0
